	TPMIC01002	TPMIC01004	TPMIC01005	TPMIC01006	TPMIC01007	TPMIC01008	TPMIC01009	TPMIC01010	TPMIC01011	TPMIC01015	TPMIC01016	TPMIC01018	TPMIC01020	TPMIC01023	TPMIC01028	TPMIC01029	TPMIC01034	TPMIC01043	TPMIC01046	TPMIC01052	TPMIC01053	TPMIC01055	TPMIC01062	TPMIC01096	TPMIC01118	TPMIC01124	TPMIC01125	TPMIC01126	TPMIC01127	TPMIC01128	TPMIC01129	TPMIC01130	TPMIC01134	TPMIC01144	TPMIC01145	TPMIC01147	TPMIC01153	TPMIC01158	TPMIC01160	TPMIC01164	TPMIC01167	TPMIC01186	TPMIC01187	TPMIC01190	TPMIC01191	TPMIC01198	TPMIC01199	TPMIC01200	TPMIC01212	TPMIC01220	TPMIC01225	TPMIC01226	TPMIC01228	TPMIC01229	TPMIC01234	TPMIC01235	TPMIC01242	TPMIC01250	TPMIC01251	TPMIC01256	TPMIC01259	TPMIC01271	TPMIC01274	TPMIC01277	TPMIC01278	TPMIC01282	TPMIC01284	TPMIC01291	TPMIC03005	TPMIC03007	TPMIC03009	TPMIC03010	TPMIC03012	TPMIC03018	TPMIC03019	TPMIC03020	TPMIC03022	TPMIC03030	TPMIC03032	TPMIC03033	TPMIC03034	TPMIC03041	TPMIC03042	TPMIC03051	TPMIC03055	TPMIC03057	TPMIC03059	TPMIC03064	TPMIC03068	TPMIC03069	TPMIC03071	TPMIC03073	TPMIC03075	TPMIC03078	TPMIC03082	TPMIC03087	TPMIC03089	TPMIC03091	TPMIC03092	TPMIC03094	TPMIC03096	TPMIC03097	TPMIC03099	TPMIC03104	TPMIC03121	TPMIC03125	TPMIC03126	TPMIC03145
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae|t__GCF_000012545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria	100.0	99.28767	100.0	100.0	100.0	100.0	99.83794	100.0	100.0	99.99397	100.0	99.66572	99.91387	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.99763	100.0	100.0	100.0	100.0	99.9393	100.0	100.0	99.99674	99.99874	99.98552	100.0	99.99697	100.0	99.95111	99.76081	100.0	99.89633	99.85511	99.84176	100.0	99.90739	100.0	100.0	100.0	100.0	100.0	99.97436	99.99946	100.0	99.99818	100.0	99.99821	99.99637	99.99597	99.89449	100.0	100.0	100.0	99.98992	100.0	100.0	100.0	99.88647	100.0	99.74847	99.99873	100.0	99.59051	100.0	99.99081	100.0	100.0	98.87247	99.97034	100.0	100.0	99.99844	100.0	100.0	99.99775	100.0	99.97273	99.99922	100.0	100.0	100.0	99.99423	100.0	99.99809	100.0	100.0	100.0	100.0	99.96911	100.0	100.0	100.0	99.99419	100.0	100.0	100.0	99.97869	100.0	99.99944	100.0	100.0	100.0
k__Bacteria|p__Actinobacteria	28.51939	2.70622	19.44823	11.27961	2.76283	3.90729	0.6792600000000001	3.38955	1.75975	0.46093	72.83766	0.8976700000000001	2.97005	1.84074	1.13507	0.54498	0.81058	4.544919999999999	17.08483	6.9890300000000005	8.927430000000003	2.46888	0.43931	0.5373600000000001	0.2505	0.46129	0.8950799999999999	0.55786	0.86692	1.79631	5.622319999999998	0.93315	0.82219	3.41086	2.64676	4.1882	0.15721	0.26238	2.03971	10.16099	15.4888	10.56178	1.6869299999999998	2.80032	1.54679	2.56831	2.00097	4.19304	6.5858	0.20627	0.53722	0.90933	8.14075	1.2012200000000002	0.40419	0.38243	0.81102	0.22373	4.54159	0.66161	4.40401	13.174270000000002	1.52664	0.40419	4.01553	0.49231	1.05997	12.77913	2.96392	0.59691	0.0665299999999999	1.4762	0.58509	0.89579	0.2109	2.2347	0.73292	1.2676	2.96961	2.57765	4.86301	2.5772	5.409619999999999	7.199789999999999	3.13268	4.3077	3.85883	0.08747	1.7539900000000002	16.54225	0.34939	6.36465	1.19823	0.80035	1.64103	33.675909999999995	0.49727	1.60441	1.23474	1.34425	4.72626	0.74328	1.24044	0.93749	1.16405	1.7336	8.16452	2.49294
k__Bacteria|p__Actinobacteria|c__Actinobacteria	28.51939	2.70622	19.44823	11.27961	2.76283	3.90729	0.6792600000000001	3.38955	1.75975	0.46093	72.83766	0.8976700000000001	2.97005	1.84074	1.13507	0.54498	0.81058	4.544919999999999	17.08483	6.9890300000000005	8.927430000000003	2.46888	0.43931	0.5373600000000001	0.2505	0.46129	0.8950799999999999	0.55786	0.86692	1.79631	5.622319999999998	0.93315	0.82219	3.41086	2.64676	4.1882	0.15721	0.26238	2.03971	10.16099	15.4888	10.56178	1.6869299999999998	2.80032	1.54679	2.56831	2.00097	4.19304	6.5858	0.20627	0.53722	0.90933	8.14075	1.2012200000000002	0.40419	0.38243	0.81102	0.22373	4.54159	0.66161	4.40401	13.174270000000002	1.52664	0.40419	4.01553	0.49231	1.05997	12.77913	2.96392	0.59691	0.0665299999999999	1.4762	0.58509	0.89579	0.2109	2.2347	0.73292	1.2676	2.96961	2.57765	4.86301	2.5772	5.409619999999999	7.199789999999999	3.13268	4.3077	3.85883	0.08747	1.7539900000000002	16.54225	0.34939	6.36465	1.19823	0.80035	1.64103	33.675909999999995	0.49727	1.60441	1.23474	1.34425	4.72626	0.74328	1.24044	0.93749	1.16405	1.7336	8.16452	2.49294
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.00594	0.00938	0.0164	0.00154	0.03289	0.02206	0.05413	0.05072	0.07591	0.015	0.08564	0.7622	0.07177	0.03832	0.00897	0.02897	0.51169	0.01498	0.06588	0.0778799999999999	0.07414	0.0	0.12104	0.01273	0.00486	0.0086	0.01818	0.10375	0.01393	0.09051	0.34427	0.0084	0.00757	0.02785	0.00157	0.2703	0.0	0.10496	0.01978	0.4493	0.04624	0.13629	0.07169	0.17655	1.02218	0.00686	0.04209	0.07076	0.03713	0.0045	0.02083	0.06064	0.02408	0.03955	0.01464	0.05595	0.05717	0.12353	0.02059	0.00072	1.20366	0.20709	0.0	0.02053	0.0109	0.04902	0.05037	0.05948	0.0114	0.01003	0.0074099999999999	0.03977	0.00272	0.25089	0.0	0.02188	0.05042	0.07205	0.12966	0.06537	0.0	0.0915	0.0156	0.00535	0.0299	0.06241	0.03778	0.03068	0.10148	0.09988	0.01375	0.00034	0.11883	0.12021	0.01976	0.00324	0.05003	0.00205	0.00684	0.0455	0.00847	0.00837	0.45454	0.11783	0.01238	0.36387	0.03373	0.01878
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0.0027	0.0	0.00061	0.00154	0.00353	0.0187	0.01081	0.0	0.00832	0.0	0.0293	0.43019	0.06089	0.00136	0.0	0.00177	0.09086	0.00095	0.00717	0.0	0.04592	0.0	0.01065	0.0	0.0	0.00276	0.0	0.0	0.0	0.00964	0.02146	0.00244	0.0	0.01318	0.0	0.1994	0.0	0.00661	0.01353	0.13229	0.0	0.00254	0.00181	0.00562	0.03048	0.0	0.00099	0.0	0.01425	0.0	0.0	0.0	0.00407	0.00593	0.00116	0.01009	0.00121	0.0	0.0033	0.0	0.22066	0.00537	0.0	0.0	0.00592	0.00509	0.0	0.00527	0.0	0.01003	0.0074099999999999	0.0	0.0	0.00644	0.0	0.0	0.00657	0.0116	0.04417	0.0	0.0	0.0	0.00513	0.00535	0.00399	0.0003	0.0	0.0	0.01911	0.05025	0.0087099999999999	0.0	0.00704	0.0	0.0	0.00106	0.0	0.0	0.0	0.0	0.0	0.00261	0.01843	0.00849	0.0016699999999999	0.021	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00261	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_massiliense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_massiliense|t__GCF_000315465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_schaalii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00261	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_schaalii|t__GCF_000411135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00261	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0.0027	0.0	0.0	0.00154	0.00353	0.0187	0.01081	0.0	0.00832	0.0	0.0293	0.43019	0.06089	0.00136	0.0	0.00177	0.09086	0.00095	0.00717	0.0	0.04592	0.0	0.01065	0.0	0.0	0.00276	0.0	0.0	0.0	0.00964	0.02146	0.00244	0.0	0.01318	0.0	0.1994	0.0	0.00661	0.01353	0.13229	0.0	0.00254	0.00181	0.00562	0.03048	0.0	0.00099	0.0	0.01425	0.0	0.0	0.0	0.00407	0.00593	0.00116	0.01009	0.00121	0.0	0.0033	0.0	0.22066	0.00537	0.0	0.0	0.00592	0.00509	0.0	0.00527	0.0	0.01003	0.0074099999999999	0.0	0.0	0.00644	0.0	0.0	0.00657	0.0116	0.04417	0.0	0.0	0.0	0.00513	0.00535	0.00399	0.0003	0.0	0.0	0.01911	0.05025	0.0087099999999999	0.0	0.00704	0.0	0.0	0.00106	0.0	0.0	0.0	0.0	0.0	0.0	0.01843	0.00849	0.0016699999999999	0.021	0.0	0.0
